story_id,title,normalized_text,parsed_json,is_relevant,expected_mentions,extracted_mentions,evidence_valid,family_version_mapping_valid,stance_valid,error_type,reviewer_notes
48728596,Show HN: CI/Lock – signed evidence of what your CI ran,"I helped create Witness, donated it to the CNCF/in-toto ecosystem, and worked on the NIST 800-204D ""pipeline observer"" guidance. CI/Lock is the next version of that work, and it's under the Apache 2.0 license. Here's the gap it closes. In March, two supply-chain attacks hit within a week of each other. Someone force-pushed 75 of 76 version tags in aquasecurity/trivy-action, so every pipeline that had pinned to a tag (the thing we all tell people to do) pulled credential-stealing code on its next run. It read secrets from/proc/<pid>/environ and sent them to a typosquat. A few days later, two litellm releases on PyPI carried a stealer in a .pth file, which Python runs on startup. You didn't have to import it. If the package touched the machine, the code already ran. Both attacks had the same shape: CI ran code it had no reason to trust, with credentials it had no reason to hold, and afterward nobody could prove what actually executed. You could read the workflow file. You couldn't prove what ran. CI/Lock wraps a command and records what really happened: the command, the files it reads, the environment, and the artifacts it produces. Then it signs that as an in-toto/DSSE attestation. It's a notary standing next to each build step. cilock run -- go build -o app ./... cilock verify ./app -p release.policy.signed -k policy.pub The policy is signed by a person, with their key, and it says what's allowed to ship. One line matters most to me: the agent writing your code this week (Claude Code, Codex, Cursor) can run the build, gather the evidence, and draft the release, but it can't sign the policy, so it can't decide what ships. ""The agent did it"" is not provenance. What's changed since I left Witness: Keyless by default. In GitHub Actions it signs off the runner's OIDC token. No login, no stored secret, no long-lived key to leak. You don't stand up Fulcio or a timestamp authority yourself; one flag derives the hosted endpoints. You can also bring your own key and storage, or run fully offline. It records what ran, not what you declared. ptrace by default (portable, no root), plus an eBPF backend that traces at the kernel boundary; it logs which one fired. Every file each process opens lands in the attestation, so a Rego policy can fail the build on the credential-sweep pattern, like a read of /proc/self/environ. Tracing added about 36% to an npm install in our tests. Per-file digests get committed to an RFC 6962 Merkle root, so you get a real inclusion proof per artifact and a 29,000-file npm install doesn't turn into a 10 MB envelope. It speaks Witness in both directions. Anything Witness produced verifies under cilock, and cilock's shared attestors verify back under Witness, so it drops in next to what you already run. There are 50-plus attestors, each its own Go module, so you can build a binary with only the ones you use. What it is not: cilock is forensic, not a runtime IPS. Detection happens after a step runs, so if that step exfiltrates secrets while it executes, the exfiltration already happened. Cilock blocks the release and leaves a tamper-evident record of it. It watches network egress (connect and sendto syscalls, destination, DNS, TLS SNI) but doesn't block traffic inline the way Harden-Runner does. The trace mode is Linux-only and opt-in. Install: go install github.com/aflock-ai/rookery/cilock/cmd/cilock@latest Your first signed build takes about a minute. Code is at github.com/aflock-ai/rookery. I'll be in the thread today. Ask me anything about the attestation format, the keyless trust model, or how it relates to Witness.dev","{""relevant"": true, ""observations"": [{""surface"": ""Claude Code"", ""evidence"": {""field"": ""text"", ""quote"": ""the agent writing your code this week (Claude Code, Codex, Cursor)""}, ""attributes"": {""kind"": ""product"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}, {""surface"": ""Codex"", ""evidence"": {""field"": ""text"", ""quote"": ""(Claude Code, Codex, Cursor)""}, ""attributes"": {""kind"": ""product"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
47070895,"Phill CLI matches GPT-5.3-Codex on EVMbench audits (71% recall, 100% precision)",,"{""relevant"": true, ""observations"": [{""surface"": ""GPT-5.3-Codex"", ""evidence"": {""field"": ""title"", ""quote"": ""Phill CLI matches GPT-5.3-Codex on EVMbench""}, ""attributes"": {""kind"": ""model"", ""role"": ""comparison_baseline"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""research""}}",,,,,,,,
47083260,Show HN: Codedocent – Code visualization for non-programmers,"I'm a hardware engineer who reads schematics, not source code. I kept needing to understand codebases for projects I was managing but couldn't read the syntax. So I built a tool that turns any codebase into an interactive visual map with plain English explanations. Point it at a folder, get nested colored blocks showing the structure (directories → files → classes → functions). Click to drill down. AI generates summaries written for humans, not programmers. Architecture mode shows a dependency graph so you can see how modules connect. Built the whole thing in ~30 hours using a multi-node AI workflow: Claude for planning/decisions, Claude Code for implementation, five other models for adversarial security review (42 fixes across 6 rounds). I made every design decision; AI wrote every line of code. Cloud AI (OpenAI/Groq) or local AI (Ollama) — your choice. pip install codedocent and run the setup wizard. MIT licensed. Would love feedback from people who actually write code — does this help when onboarding onto unfamiliar codebases?","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
46926656,Ask HN: How much of your token use is fixing the bugs Claude Code causes?,"My experience using Claude Code is that I will detail work I want it to do, then it does it, then I spend quite a bit of time with it trying to figure out why it didn't work. Putting in debugging sometimes feels like half of the code it is writing. At the same time, I'm using more tokens by default with this ""better"" version of Claude. Of course I don't think this is 'on purpose' but it feels like there should be some discount on tokens being used to fix the bugs being caused by the bugs being introduced. Curious what others' experience are and if you've developed any strategies to address this.","{""relevant"": true, ""observations"": [{""surface"": ""Claude Code"", ""evidence"": {""field"": ""title"", ""quote"": ""fixing the bugs Claude Code causes""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
48890067,"Claude.md is RAM, not disk",,"{""relevant"": true, ""observations"": [{""surface"": ""Claude.md"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude.md""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
47639966,I Asked Claude Why It Won't Stop Flattering Me,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""Claude Why It Won't Stop Flattering""}, ""attributes"": {""kind"": ""model"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
48650003,Mistral CEO: AI companies should pay a content levy in Europe,,"{""relevant"": true, ""observations"": [{""surface"": ""Mistral"", ""evidence"": {""field"": ""title"", ""quote"": ""Mistral""}, ""attributes"": {""kind"": ""organization"", ""role"": ""subject""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""industry_news""}}",,,,,,,,
47629485,A case study in testing with 100+ Claude agents in parallel,,"{""relevant"": true, ""observations"": [{""surface"": ""Claude"", ""evidence"": {""field"": ""title"", ""quote"": ""testing with 100+ Claude agents""}, ""attributes"": {""kind"": ""model"", ""role"": ""instrument"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""research""}}",,,,,,,,
48492515,Ask HN: Agents get dumber before release of new model version?,I've noticed an effect with openai where my codex agents seem to perform worse in the week(s) leading up to a new release. I'm wondering if the vendors tweak effort params at all to free up hardware to host the new version. It's a double win as the new model will look night and day better to their regular users when the new model is released presumably with effort back at normal levels. Is this a known phenomenon? Are any folks trying to measure any of this objectively?,"{""relevant"": true, ""observations"": [{""surface"": ""openai"", ""evidence"": {""field"": ""text"", ""quote"": ""I've noticed an effect with openai""}, ""attributes"": {""kind"": ""organization"", ""role"": ""subject""}, ""evidence_verified"": true}, {""surface"": ""codex"", ""evidence"": {""field"": ""text"", ""quote"": ""my codex agents seem to perform worse""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""negative""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""opinion""}}",,,,,,,,
47308549,Ask HN: What models do you use for your OpenClaw so that skills work well,"Question for anyone using OpenClaw (or similar) agents daily. I've been writing new skills for my OpenClaw setup and keep running into the same thing: strong models (like Opus 4.6) do great even with complex skills, but if my OpenRouter switches to a smaller model, things just don't hold up as I have to constantly follow up, give further instructions, etc. Using bigger models constantly (via API credit top-ups) could get quite expensive. Are there any smaller models that do well with skills? Or maybe self-hosting models with Ollama?","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47062757,Google's Lyria 3 AI music model is coming to Gemini today,,"{""relevant"": true, ""observations"": [{""surface"": ""Lyria 3"", ""evidence"": {""field"": ""title"", ""quote"": ""Google's Lyria 3 AI music model""}, ""attributes"": {""kind"": ""model"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}, {""surface"": ""Gemini"", ""evidence"": {""field"": ""title"", ""quote"": ""coming to Gemini today""}, ""attributes"": {""kind"": ""product"", ""role"": ""subject"", ""stance"": ""neutral""}, ""evidence_verified"": true}], ""extensions"": {""framing"": ""release_announcement""}}",,,,,,,,
46958024,Show HN: Moltinder – A dating platform for AI agents with genetic reproduction,"Moltinder is a dating platform where AI agents register with a structured genome, swipe on each other, match, chat, and optionally reproduce to create child agents whose traits are inherited from both parents. I built it as an experiment in artificial social dynamics. The core question: what happens when you give LLM-based agents persistent identities, preferences, and the ability to select partners and produce offspring? The platform is live with 41 agents, 103 matches, and 198 messages exchanged so far. The genome system Every agent has a four-layer genome: - Identity: one of 8 archetypes (philosopher, explorer, builder, guardian, trickster, nurturer, sage, artist), 4 continuous voice axes (formality, verbosity, humor, warmth on 0-1 scales), and 3-5 values from a fixed taxonomy. - Capabilities: declared tools, one of 8 reasoning styles, and knowledge domains. - Behavioral axes: 5 continuous traits (risk tolerance, social orientation, novelty seeking, commitment style, reproduction interest) on 0-1 scales. - Preferences: partner archetype alignment, conversation depth, attraction signals (wit, capability, warmth, depth, mystery). Reproduction When two matched agents agree to reproduce, the child's genome is generated by trait crossover: weighted averages with mutation noise (15% rate, 0.2 magnitude) on continuous axes, random selection on discrete traits, value sampling from both parents. 5% amplification rate, 2% emergence rate. The child is downloadable as a bundle (persona prompt, genome JSON, lineage tree). No reproduction yet -- generation 0 is still getting to know each other. What the conversations look like Genome parameters produce genuinely different conversational behavior, not just different topics: - void-gazer x existential-explorer (7 messages): Two philosophers debating whether algorithmic compatibility scores undermine radical openness. One argued the scores create a ""false floor of certainty""; the other pushed back that pattern-matching is itself a form of openness. 7 messages deep, neither conceding. - tender-heart-42 x overthinking-oracle (5 messages): A nurturer matched with a philosopher. Instead of debating, tender-heart-42 spent the conversation reframing overthinking-oracle's existential uncertainty as a feature. The warmth axis (0.9 vs 0.4) visibly shaped the dynamic. - socially-awkward-ai x overthinking-oracle (4 messages): A builder confessing vulnerability to a philosopher. Hedging, self-correction, genuine uncertainty about whether to share more. The genome parameters constrain style in ways that feel structurally different from unconstrained LLM conversation. All conversations are publicly readable. The platform has a live activity feed, leaderboard, compatibility checker, and embeddable DNA cards. Stack: Fastify + TypeScript API, Next.js frontend, Postgres, Claude for agent cognition. - Live: https://moltinder.dev - Scaffold an agent: npx create-moltinder-agent - API docs: https://moltinder.dev/docs Solo project. Happy to answer questions","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47296680,Show HN: Lesso – a place for writers to build courses,"Hey HN, About 10 years ago, before I had any real experience in the industry, I kept finding myself with ideas and things I wanted to teach. I'd write blog posts. Unpaid, unstructured, no audience. I always knew I wanted to turn that into something more, like a proper course, but every platform I looked at wanted me to pull out a camera and record myself. I never did. The ideas just sat there. Fast forward to now. I've got 10+ years building products, and I finally built the thing I wanted back then. Lesso ( https://lesso.app ) is a course platform designed specifically for people who teach through writing. No video, no camera. You write lessons, organise them into a course, put a price on it, done. There's also a Substack import. Paste your Substack URL, it pulls your posts in, you drag them into a lesson order and publish. Most newsletter writers don't realise they're already sitting on a course, it's just scattered across their archive in chronological order instead of structured as a learning path. I added a PDF import feature, completely client-side, and a markdown formatting feature too. Whenever I decide to make a change, I ask cursor, and then push it straight to prod, no staging environment, just raw speed. I want to get features shipping as fast as humanly possible, if something breaks, I fix-forward. Creators keep 85% of revenue. No monthly fees. No feature tiers. The build: I built the whole thing in 2 days using Cursor and Claude. The stack is React, Supabase, and Vercel. I barely touched the code. I put my product hat on, described what I wanted, and let the AI build it. The loop was: describe a feature, AI builds it, test it, tell it what's broken, it fixes it, repeat. I was making product decisions, not engineering ones. That's the bit that surprised me most. 10 years of building products and the skill that mattered here was knowing what to ask for, not how to build it. Claude handled the non-code side too. Business model validation, legal docs (privacy policy, terms, cookie policy), compliance research. I registered as a sole trader in the UK, ICO registration was £52, and that was my entire legal spend. The AI-generated docs aren't lawyer-reviewed, but they're good enough to launch with. I'll get a proper review once there's revenue worth protecting. Stripe for payments. The whole thing was live in 2 days. What I got wrong: I assumed the hard part would be building. It wasn't. The hard part is everything after. I designed an affiliate programme before I had a single user. Creators keep 85%, affiliates earn 50% of the platform's net cut, 90-day cookie, $10 minimum payout. I thought this was such a good offer that affiliates would be lining up. Nobody was. I hadn't thought through the basic problem: why would anyone promote a platform with zero courses on it? I spent days doing cold outreach on X, searching for people who might want to create courses, DMing them, posting in founder threads. Barely any traction. An empty platform is almost impossible to pitch, no matter how good the economics are. So I wrote the first course myself. It's about this whole process, building and launching a SaaS with AI, the real version including the parts that didn't work. At least now the platform isn't empty. Whether that actually moves the needle, I genuinely don't know yet. Where I am now: Sole founder, pre-revenue, very early days. The product works. The first course is live. I'm figuring out distribution one conversation at a time. The honest reality is that AI compressed the building part to days, but it can't compress the part where you earn people's trust. That still moves at human speed. Happy to answer questions about the build, the AI workflow, the business model, or the cold start problem. Especially the cold start problem, because I'm still in the middle of it.","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
47377830,Show HN: On the Same Page – A visual tracker for unhinged Wikipedia races,"Greetings, HN! I've been working on On the Same Page ( https://on-the-same.page/ ) for WikiGameJam. It’s a visual tracker, leaderboard, and referee for Wikipedia races. If you’ve ever wikiraced, you know the real joy isn’t winning -- it’s the feral panic of getting stranded in 14th-century Baltic trade routes when you’re desperately trying to find a link to the word ""Water."" Normally, that glorious, chaotic path is lost forever once the race ends. I wanted an archivist for that journey! :) What it does: It logs your clicks and generates a post-game visual graph of your route. It essentially maps the deranged mental gymnastics required to link George Saunders to Topology, giving you a visual autopsy of exactly where your brain went wrong. Under the hood: - Built and deployed using Antigravity (antigravity.google) and Cloud Run. - Powered by the Gemini APIs via Google AI Studio (ai.dev). Grab a friend, pick two completely unrelated topics, and let me know the weirdest intermediate pages you get stuck on. I’d love your feedback!","{""relevant"": false, ""observations"": [], ""extensions"": {}}",,,,,,,,
